FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;Data Steward;;;
Grundlagen und übergreifende Konzepte;Basics and overarching concepts;;;wie Bachelor +;like Bachelor +;wie Bachelor + Master+;like Bachelor + Master +;wie Bachelor + Master+ PhD +;like Bachelor + Master+ PhD +;;;
Allgemeine Grundsätze und Konzepte des Forschungsdatenmanagements;General principles and concepts of research data management;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Definitionen von Forschungsdatenmanagement (FDM) und Forschungsdaten; Forschungsdatenlebenszyklus (FDL-Zyklus) und dessen Stationen; Relevanz von FDM; Geschichte des FDM; aktuelle Entwicklungen im FDM; wichtige Akteure; relevante Begriffe.";"Contents: Definitions of research data management (RDM) and research data; research data life cycle and its stages; relevance of RDM; history of RDM; current developments in RDM; important players; relevant terms.";... die Relevanz und Vor- und Nachteile von FDM für die Forschung allgemein sowie für die eigene Forschung beschreiben. [SK 2, SeK 1];... describe the relevance of RDM as well as advantages and disadvantages of RDM for research in general and for their individual research. [PC 2, SelfC 1];... Maßnahmen für gutes FDM in verschiedenen Stationen des FDL-Zyklus beschreiben. [SK 2];... describe measures for good RDM in research during different stages of the data life cycle. [PC 2] ;... Maßnahmen für gutes FDM in verschiedenen Stationen des FDL-Zyklus beschreiben und diese begründen. [SK 3];... describe and justify measures for good RDM in different stages of the data life cycle. [PC 3];...vermitteln, was FDM beinhaltet und weshalb es für Forschungsprozesse von Bedeutung ist. [SK 2, MK 3, SoK 3];... communicate what RDM entails and why it is important to research processes. [PC 2, MC 3, SC 3];;;
;;... die Definition von Forschungsdaten wiedergeben und verschiedene Formen von Forschungsdaten benennen. [SK 1];... define the term research data and to identify different forms of research data. [PC 1];... die Relevanz und Vor- und Nachteile von FDM diskutieren. [SK 2, SoK 2, SeK 2];... discuss the relevance and advantages and disadvantages of RDM in research. [PC 2, SC 2, SelfC 2];... allgemeine und spezifische Problemstellungen im Bereich des FDM erkennen und beschreiben. [SK 4];... recognise and describe general and specific problems in the field of RDM. [PC 4];... vermitteln, welche Maßnahmen für gutes FDM an den Stationen des FDL-Zyklus von Bedeutung sind. [SK 3, MK 3, SoK 3];... communicate which measures are important for good RDM at the stations of the data life cycle. [PC 3, MC 3, SC 3];;;
;;... den FDL-Zyklus beschreiben und dessen Stationen benennen. [SK 1];... describe the research data lifecycle and its stages. [PC 1];... allgemeine Problemstellungen im Bereich des FDM benennen. [SK 2];... name general problems in the field of RDM. [PC 2];... aktuelle Entwicklungen/ Initiativen, z. B. NFDI, EOSC benennen [SK 1];... name current developments/initiatives, e. g. NFDI, EOSC. [PC 1];...bezüglich sinnvoller Maßnahmen für gutes FDM an den Stationen des FDL-Zyklus beraten. [SK 3, MK 3, SoK 3];… advice reasonable measures for good RDM regarding the stages stages of the data life cycle. [PC 3, MC 3, SC 3];;;
 ;;;;... eigene Tätigkeiten in einem Forschungsprozess den Stationen des FDL-Zyklus zuordnen. [SK 2, SeK 2];... allocate own activities in a research process to the stages of the data life cycle. [PC 2, SelfC 2];;;... die Relevanz und Vor- und Nachteile von FDM für die Forschung allgemein sowie für die eigene Forschung aufzeigen und vermitteln. [SK 2, SoK 3, SeK 3];... teach/communicate the relevance of advantages and disadvantages of RDM for research in general and for individual research projects. [PC 2, SC 3, SelfC 3];;;
;;;;;;;;... zu den verschiedenen Aspekten des FDM (Daten, Datenlebenszyklus, Metadaten, FAIR-Prinzipien, Repositorien, Datenmanagementplan, Datenpublikation und -zitation, aktuelle Entwicklungen/ Initiativen: NFDI, EOSC, u. a.) Orientierung geben. [SK 2, MK 2, SoK 3] ;.. provide guidance on the various aspects of RDM (data, data life cycle, metadata, FAIR principles, repositories, DMP, data publication and citation, current developments/initiatives: NFDI, EOSC etc.). [PC 2, MC 2, SC 3] ;;;
;;;;;;;;... die Relevanz von FDM für gute wissenschaftliche Praxis vermitteln. [SK 4];…communicate the relevance of RDM for GSP. [PC 4];;;
;;;;;;;;... Problemstellungen im Bereich des FDM erkennen, analysieren und Lösungsstrategien entwickeln. [SK 5, MK 6];... recognise and analyse problems in the field of RDM and develop solution strategies. [PC 5, MC 6];;;
Forschungsdaten-Policies;Research data policies;Lernende können...;Learners are able to...;Lernende können...;learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Definition: Policy/Leitlinie; Funktionen einer Policy; Formen von Policies (fachspezifisch, institutionell,...); typische Inhalte einer Policy; Entwicklung der Forschungsdaten-Policies (im deutschsprachigen Raum); Handlungsempfehlungen für die Entwicklung von Policies.";"Contents: Definition: policy/guideline; functions of a policy; forms of policies (subject-specific, institutional,...); typical contents of a policy; development of research data policies (in German-speaking countries); recommendations for the development of policies.";... erklären, was eine Policy ist. [SK 1];... explain what a policy is. [PC 1];... den Unterschied zwischen disziplinären und institutionellen Forschungsdaten-Policies erläutern. [SK 2];... explain the difference between disciplinary and institutional research data policies. [PC 2];... verschiedene Formen von Forschungsdaten-Policies vergleichend beschreiben. [SK 3] ;... comparatively describe different forms of research data policies. [PC 3] ;... unterschiedliche Forschungsdaten-Policies benennen und deren wichtigsten Inhalte an andere vermitteln. [SK 2, SoK 2]; ...name different research data policies and communicate their main contents to others. [PC 2, SC 2];;;
;;...beschreiben, was eine Forschungsdaten-Policy ist. [SK 1];... describe what a research data policy is. [PC 1];... Forschungsdaten-Policies kritisch diskutieren. [SK 4, SoK 4, SeK 3];... discuss research data policies critically. [PC 4, SC 4, SelfC 3];...wichtige Policies benennen und deren Inhalte kritisch diskutieren. [SK 3, SoK 3];...name important policies and critically discuss their contents. [PC 3, SC 3];... fachspezifische Policies benennen und deren wichtigsten Inhalte an andere vermitteln. [SK 2, SoK 2] ;... name subject-specific policies and communicate their most important contents to others. [PC 2, SC 2] ;;;
;;... die Funktion einer Forschungsdaten-Policy beschreiben. [SK 2];... describe the function of a research data policy. [PC 2];;;... relevante Policies erkennen und hieraus einen Handlungsrahmen für ihr FDM ableiten. [SK 5, SoK 5, SeK 5, MK 4];... recognise relevant policies and derive an operational framework for their RDM. [PC 5, SC 5, SelfC 5, MC 4];... eigenständig Informationen zu Richtlinien und Policies recherchieren und bedarfsgerecht für verschiedene Zielgruppen aufbereiten. [SK 4, MK 5, SoK 3];... independently search for information on guidelines and policies and prepare it for different target groups according to their demands. [PC 4, MC 5, SC 3];;;
;;;;;;;;... relevante Policies/Leitlinien Forschungsprojekten zuordnen und hierzu beraten. [SK 4, MK 4, SoK 3];... allocate relevant policies/guidelines to research projects and offer advise on them. [PC 4, MC 4, SC 3];;;
;;;;;;;;... aus Policies einen Handlungsrahmen für FDM-Maßnahmen ableiten sowie entsprechend schulen und beraten. [SK 5, MK 3, SoK 5, SeK 5];... derive an operational framework for RDM measures based on policies and teach and advise accordingly. [PC 5, MC 6];;;
Datenmanagementpläne;Data management plans;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Definition Datenmanagementplan (DMP); Funktionen eines DMP; Bestandteile eines DMP; Vor- und Nachteile eines DMP; Kriterien für die Qualität eines DMP; Vorgaben von Drittmittelgebern und anderen; unterstützende Werkzeuge; Unterstützungsstrukturen an den Institutionen. ";"Contents: Definition: data management plan (DMP); functions of a DMP; components of a DMP; advantages and disadvantages of a DMP; quality criteria of a DMP; requirements of third-party funding bodies and others; supporting tools; institutional support structures. ";... beschreiben, was ein DMP ist. [SK 2];... describe what a DMP is. [PC 2];... unter Anleitung einfache DMPs für eigene Projekte erstellen. [SK 2, MK 3];... create simple DMPs for their own projects under guidance. [PC 3, MC 3];... die Relevanz und das Konzept eines DMP erläutern und kritisch diskutieren. [SK 4, SoK 4];... explain and critically discuss the relevance and the concept of a DMP. [PC 4, SC 4];... die Relevanz und die Bestandteile eines DMP aufzeigen und vermitteln. [SK 3, MK 3, SoK 3];... demonstrate and communicate the relevance and components of a DMP. [PC 3, MC 3, SC 3];;;
;;... Komponenten eines DMP aufzählen. [SK 1]; ... list components of a DMP. [PC 1]  ;... Vor- und Nachteile eines DMP kritisch diskutieren. [SK 2, SoK 3];... critically discuss the advantages and disadvantages of a DMP. [PC 3, SC 3];... eigenständig einen DMP (nach Förderer-Richtlinien) erstellen. [MK 3] ;... independently create a DMP (in accordance with funding guidelines). [MC 3];... die Erwartungen der verschiedenen Förderinstitutionen und deren Förderziele im Hinblick auf DMPs aufzeigen und vermitteln. [SK 3, MK 3, SoK 3];... show and convey the expectations of the different funding institutions and their funding objectives with regard to DMPs. [PC 3, MC 3, SC 3];;;
;;… die Relevanz eines DMP als Planungsinstrument beschreiben. [SK 2];... describe the relevance of a DMP as a planning tool. [PC 2];;;... Werkzeuge zum Erstellen von DMPs benennen. [SK 2];... name tools for creating DMPs. [PC 2];... beschreiben, nach welchen Kriterien Förderanträge begutachtet werden. [SK 2];... describe the criteria according to which funding applications are reviewed. [PC 2];;;
;;;;;;... Werkzeuge zum Erstellen von DMPs für eigene Projekte anwenden. [MK 3];... apply tools for creating DMPs for own projects. [MC 3];... über Werkzeuge zum Erstellen von DMPs informieren und deren Anwendung vermitteln. [SK 3, MK 3, SoK3];... inform about tools for creating DMPs and teach how to use them. [PC 3, MC 3, SC3];;;
;;;;;;;;... eigenständig DMP-Vorlagen erstellen. [SK 5, MK 6];... create DMP templates independently. [PC 5, MC 6];;;
;;;;;;;;... einen (projektspezifischen) DPM erstellen. [SK 3, MK 6];... create a (project-specific) DPM. [PC 3, MC 6];;;
;;;;;;;;... bzgl. der Erstellung von (projektspezifischen) DMPs beraten. [SK 5, MK 4, SoK 3];... advise on the creation of (project-specific) DMPs. [PC 5, MC 4, SC 3];;;
;;;;;;;;... Best-Practice-Beispiele für die Verwendung von DMPs aus Sicht von Forscher*innen aufzeigen. [SK 3];... show best practice examples for the use of DMPs from a researcher's point of view. [PC 3];;;
;;;;;;;;... die nationalen und internationalen Perspektiven in Bezug auf DMPs beschreiben. [SK 3];... describe national and international perspectives on DMPs. [PC 3];;;
;;;;;;;;... relevante (nationale und internationale) Arbeitsgruppen zu DPMs benennen. [SK 2];... name relevant (national and international) working groups on DMPs. [PC 2];;;
;;;;;;;;... unterschiedliche Formen des Projektmanagements und die Kombination mit dem DMP benennen. [SK 3, MK 3];... name different forms of project management and the combination with the DMP. [PC 3, MC 3];;;
FAIR-Prinzipien;FAIR principles;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Grundsätze, die nachnutzbare Forschungsdaten erfüllen müssen; nachhaltiges FDM sichern; Bezug der FAIR-Prinzipien auf die Datenhaltung; sowie Infrastrukturen und Services.";"Contents: Principles that reusable research data must meet; ensuring sustainable RDM; relating FAIR principles to data management, and infrastructures and services.";... die FAIR-Prinzipien benennen. [SK 1];... name the FAIR principles. [PC 1];... Vor- und Nachteile von FAIRen Daten diskutieren. [SK 2, MK 3, SoK 3];"... discuss advantages and disadvantages of FAIR data. [PC 2, MK 3, SC 3]
";… die FAIRness von Daten kritisch beurteilen. [SK 3];... critically assess the FAIRness of data. [PC 3];... die FAIR-Prinzipien beschreiben und an andere vermitteln. [SK 2, MK 3, SoK 3];... describe the FAIR principles and communicate them to others. [PC 2, MC 3, SC 3];;;
;;... die einzelnen Aspekte von FAIR beschreiben. [SK 1];... describe the individual aspects of FAIR. [PC 1];… FAIRness von Daten einschätzen. [SK 3, MK 2];... assess FAIRness of data. [PC 3, MC 2];… eigenständig Schritte unternehmen, eigene Daten zu FAIRifizieren. [MK 5];... take independent steps to FAIRify their own data. [MC 5];… Vor- und Nachteile sowie Schwierigkeiten bei der FAIRifizierung von Daten aufzeigen und vermitteln. [SK 4, MK 3, SoK 3];... point out and discuss advantages and disadvantages as well as difficulties in FAIRifying data. [PC 4, MC 3, SC 3];;;
;;;;;;;;… bzgl. der FAIRifizierung von Daten Orientierung geben und projektspezifisch beraten. [SK 5, MK 5, SoK 3] ;... provide guidance on the FAIRification of data and give project-specific advice. [PC 5, MC 5, SC 3];;;
Open X (Open Data, Open Source, Open Science, etc.);Open X (Open Data, Open Source, Open Science, etc.);Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;Lernende können…;Learners are able to...;;;
"Inhalte: Begriff Open Science; Open Science-Inhalte: Open Access, Open Data, Open Source...; Vor- und Nachteile; ethische Aspekte; FAIR vs. Open; Open Data-Plattformen; Grad der Offenheit (5 Sterne-Modell).";"Contents: Term Open Science; Open Science contents: Open Access, Open Data, Open Source ...; advantages and disadvantages; ethical aspects; FAIR vs. Open; Open Data platforms; degree of openness (5 star model).";"... das Konzept ""Open Science"" erläutern. [SK 1]";"... explain the concept of ""Open Science"". [PC 1]";"... zwischen den Konzepten ""FAIR"" und ""Open"" differenzieren. [SK 3]";"... differentiate between the concepts of ""FAIR"" and ""Open"". [PC 3]";... beschreiben, was die Öffnung des Forschungskreislaufs im Sinne von Open Science bedeutet. [SK 2] ;... describe what opening up the research cycle in terms of Open Science means. [PC 2];... beschreiben, was die Öffnung des Forschungskreislaufs im Sinne von Open Science im Einzelnen (in einzelnen Etappen des Forschungskreislaufs) bedeutet. [SK 2] ;... describe what being open means in the sense of Open Science within the research cycle in detail (in individual stages of the research cycle). [PC 2];;;
;;... die Begriffe Open Access, Open Data, Open Source als Bereiche bzw. Praktiken von Open Science beschreiben. [SK 1];... describe the terms Open Access, Open Data, Open Source as areas or practices of Open Science. [PC 1];... beurteilen, ob eine Veröffentlichung frei zugänglich ist. [SK 4];... assess whether a publication is openly accessible. [PC 4];... beschreiben, wo Herausforderungen bei der Öffnung des Forschungskreislaufs im Sinne von Open Science liegen. [SK 2];... describe where challenges lie in opening up the research cycle in the sense of Open Science. [PC 2];... zu Open Science-Praktiken Orientierung geben und projektspezifisch beraten. [SK 5, MK 3, SoK3];... give guidance on Open Science practices and advise on a project-specific basis. [PC 5, MC 3, SC3];;;
;;... die Vor- und Nachteile von Open Science und zugehöriger Praktiken benennen. [SK 2];... name the advantages and disadvantages of Open Science and related practices. [PC 2];... eigenständig Plattformen für offene Daten finden. [MK 4];... independently find platforms for open data. [MC 4];... erläutern, welche Open Science-Praktiken für einzelne Schritte in einem beispielhaften Forschungskreislauf anwendbar sind. [SK 3];... explain which Open Science practices are applicable to individual steps in an exemplified research cycle. [PC 3];;;;;
;;;;... beschreiben, was erforderlich ist, um Forschungsdaten offen zugänglich zu machen. [SK 3];... describe what is required to make research data openly accessible. [PC 3];... den Grad der Offenheit von Daten mithilfe des 5-Sterne-Modells beurteilen. [SK 5];... assess the degree of openness of data using the 5-star model. [PC 5];;;;;
 FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;;;;
Arbeiten mit Daten;Working with Data;;;wie Bachelor +;like Bachelor +;wie Bachelor + Master +;like Bachelor + Master +;wie Bachelor + Master + PhD +;like Bachelor + Master+ PhD +;;;
Ordnung und Struktur, Versionierung;Order and structure, versioning;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Konzepte für logische Ordnerstrukturen; Dateibenennungskonventionen; Umbenennungswerkzeuge; Vorteile eines strukturierten Arbeitens; Bedeutung eines strukturieren Vorgehens für Kollaborationen; Definition Versionierung: Versionierungsmethoden/-konzepte; Versionierungswerkzeuge.";"Contents: Concepts for logical folder structures; file naming conventions; renaming tools; advantages of working in a structured way; importance of a structured approach for collaborations; definition of versioning: versioning methods/concepts; versioning tools.";... beschreiben, was eine Dateibenennungskonvention ist. [SK 1];... describe what a file naming convention is. [PC 1];... eigenständig Benennungskonventionen entwickeln und auf eigene (und kollaborativ) genutzte Forschungsdaten anwenden. [MK 4];"... independently develop naming conventions and apply them to own (and collaboratively) used research data. [MC 4]
";... eigenständig Ordnerstrukturen aufbauen, Benennungskonventionen entwickeln und diese in angemessener Form dokumentieren. [SK 4, MK 4];"... build up folder structures independently, develop naming conventions and document them in an appropriate form. [PC 4, MC 4]
";... den Nutzen von systematischen, klaren Dateibenennungen und Ablagestrukturen aufzeigen und an Dritte vermitteln. [SK 1, MK 2, SoK 3];"... demonstrate the benefits of systematic, clear file naming and filing structures and communicate them to third parties. [PC 1, MC 2, SC 3]
";;;
;;... die Relevanz strukturierter Dateibenennung beschreiben. [SK 2];... describe the relevance of structured file naming. [PC 2];... Dateibenennungen und Dateibenennungskonventionen kritisch bewerten. [SK 3];"... critically evaluate file naming and file naming conventions. [PC 3]
";... einfache und komplexe Versionierungsmethoden auf eigene Forschungsdaten anwenden. [MK 3];... apply simple and complex versioning methods to their own research data. [MC 3];... Konzepte und unterstützende Werkzeuge zum Aufbau von effizienten Ordnerstrukturen aufzeigen und vermitteln. [SK 2, MK 3, SoK 3] ;... demonstrate and communicate concepts and supporting tools for setting up efficient folder structures. [PC 2, MC 3, SC 3] ;;;
;;...Kriterien für eine gute Benennungskonvention nennen. [SK 2];... state criteria for a good naming convention. [PC 2];... eigenständig eine Ordnerstruktur für eigene und kollaborative Forschungsdaten entwerfen und auf eigene (und kollaborativ) genutzte Forschungsdaten anwenden. [SK3, MK 4];"... independently design a folder structure for own and collaborative research data and apply it to own (and collaboratively) used research data. [PC3, MC 4]
";... Versionierungswerkzeuge für individuelle Arbeitsprozesse einsetzen. [MK 3];... use versioning tools for individual work processes. [MC 3];... Konzepte und unterstützende Werkzeuge zur systematischen Dateibenennung aufzeigen und vermitteln. [MK 3, SoK 3] ;... demonstrate and convey concepts and supporting tools for systematic file naming. [MC 3, SC 3] ;;;
;;... unter Anleitung Benennungskonventionen entwickeln und auf eigene (und kollaborativ) genutzte Forschungsdaten anwenden. [MK 3];... develop naming conventions under guidance and apply them to own (and collaboratively) used research data. [MC 3];... verschiedene Ordnerstrukturen für Dateien kritisch bewerten. [SK 3];"... critically evaluate different folder structures for files. [PC 3]
";... Versionierungswerkzeuge für die kollaborative Zusammenarbeit und Automatisierung gemeinsamer Arbeitsprozesse einsetzen. [MK 3, SoK 3];"... use versioning tools for collaborative work and automation of joint work processes. [MC 3, SC 3]
";... verschiedene Konzepte zum Anlegen von Ordnerstrukturen bewerten und Dritte bzgl. des Aufbaus von Ordnerstrukturen beratend unterstützen. [SK 4, SoK 3];"... evaluate different concepts for creating folder structures and advise third parties on setting up folder structures. [PC 4, SC 3]
";;;
;;... die allgemeinen Merkmale einer effizienten Ordnerstruktur beschreiben. [SK 1];... describe the general features of an efficient folder structure. [PC 1] ;... eigenständig Ordnerstrukturen und Benennungskonventionen dokumentieren. [MC 3];"... independently document folder structures and naming conventions. [MK 3]
";;;... verschiedene Konzepte zum Anlegen von Benennungskonventionen bewerten und Dritte bzgl. der Entwicklung von Benennungskonventionen beratend unterstützen. [SK 4, SoK 3];"... evaluate different concepts for creating naming conventions and advise third parties on the development of naming conventions. [PC 4, SC 3]
";;;
;;... den Nutzen einer klaren, nachvollziehbaren Ordnerstruktur erläutern. [SK 1];... explain the benefits of a clear, comprehensible folder structure. [PC 1];... Methoden und Werkzeuge für die Versionskontrolle benennen. [SK 1];"... name methods and tools for version control. [PC 1]
";;;... allgemeine Konzepte der Versionierung beschreiben und an Dritte vermitteln. [SK 2, SoK 3];"... describe general concepts of versioning and communicate them to third parties. [PC 2, SC 3]
";;;
;;... unter Anleitung eine Ordnerstruktur für eigene und kollaborative Forschungsdaten entwerfen. [MK 3];... design a folder structure for own and collaborative research data under guidance. [MC 3] ;... einfache Versionierungsmethoden auf eigene Forschungsdatendaten anwenden. [MK 3] ;"... apply simple versioning methods to their own research data. [MC 3] 
";;;... einfache und komplexe Versionierungs-methoden an Dritte vermitteln und hierzu beraten. [SK 2, MK 3, SoK 3];... communicate and advise third parties on simple and complex versioning methods. [PC 2, MC 3, SC 3];;;
;;... unter Anleitung Ordnerstrukturen und Benennungskonventionen dokumentieren. [SK 3, MK 2];... document folder structures and naming conventions under guidance. [PC 3, MC 2];... unterstützende Werkzeuge (Umbenennungswerkzeuge) auf eigene Dateien anwenden. [SK 2];"... apply supporting tools (renaming tools) to own files. [PC 2] 
";;;...Dritte bzgl. der Nutzung von Versionierungswerkzeuge anleiten und beraten. [SK 2, MK 3, SoK 3];"...guide and advise third parties on the use of versioning tools. [PC 2, MC 3, SC 3]
";;;
;;... den Zweck und Nutzen von Versionierung beschreiben. [SK 1];... describe the purpose and use of versioning. [PC 1];;;;;"...Dokumentationsformen aufzeigen, vermitteln und entsprechend beraten. [SK 3, MK 3; SoK 3]";"...identify, communicate and advise on forms of documentation. PC 2, MC 3, SC 3]
";;;
;;... einfache Versionierungsmethoden für Forschungsdaten benennen. [SK 3];... name simple versioning methods for research data. [PC 3];;;;;;;;;
;;... unterstützende Werkzeuge (Umbenennungswerkzeuge) benennen. [SK 2];... name supporting tools (e. g. renaming tools) [PC 2]. ;;;;;;;;;
;;... erläutern, warum Rohdaten separat gespeichert werden sollten. [SK 2];... explain why raw data should be stored separately. [PC 2];;;;;;;;;
Daten, Datentypen, Datenformate ;Data, data types, data formats ;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Datentypen, Datenformate, Dateiformate; geeignete Datenformate wählen; wichtige Tools für Formaterkennung und -validierung; Datenstandards.";"Contents: Data types, data formats, file formats; choosing suitable data formats; important tools for format recognition and validation; data standards.";... die Unterschiede zwischen den Begriffen: Datentypen und Datenformaten/Dateiformaten und Dateityp beschreiben. [SK 1];... describe the differences between the terms: data types and data formats/file formats and file type. [PC 1];... beschreiben, was ein Datenstandard ist. [SK 2];... describe what a data standard is. [PC 2];... die Besonderheiten von verschiedenen Daten- und Dateitypen, auch hinsichtlich ihrer Prozessierung, beschreiben. [SK 2] ;... describe the special features of different types of data and files, also with regard to their processing. [PC 2];... anhand von Beispielen erklären, was Daten sind. [SK 2];... explain what data is using examples. [PC 2];;;
;;... einfache Datentypen nennen. [SK 1];... name simple data types. [PC 1];... geeignete Dateiformate für die Archivierung und Nachnutzung nennen. [SK 2];... name suitable file formats for archiving and reuse. [PC 2];... eigenständig geeignete Formate für Archivierung und Nachnutzung auswählen. [MK 4];... independently select suitable formats for archiving and reuse. [MC 4] ;... die Unterschiede zwischen Datentypen, Dateiformaten und -typen vermitteln. [SK 2, SoK 3];... communicate the differences between data types, file formats and types. [PC 2, SC 3];;;
;;... verschiedene Dateiformate identifizieren und Dateitypen zuordnen. [SK 3];... identify different file formats and assign file types. [PC 3];... die Vor- und Nachteile verschiedener Dateiformate (im Hinblick auf Interoperabilität und Nachnutzung) gegenüberstellen. [SK 4];... compare the advantages and disadvantages of different file formats (including interoperability and reuse). [PC 4];... eigene Daten eigenständig in nachnutzbaren Formaten anlegen oder in entsprechende Formate überführen. [MK 4];... independently create their own data in reusable formats or transfer them to appropriate formats. [MC 4];... die Unterschiede zwischen Daten, Informationen und Wissen darstellen. [SK 4];... present the differences between data, information and knowledge. [PC 4];;;
;;... den Unterschied zwischen quantitativen und qualitativen Daten beschreiben. [SK 2] ;... describe the difference between quantitative and qualitative data. [PC 2];... unter Anleitung geeignete Formate für Archivierung und Nachnutzung auswählen. [MK 3];... select suitable formats for archiving and reuse under guidance. [MC 3];... Werkzeuge zur Dateiformaterkennung und -validierung eigenständig nutzen. [MK 4];... independently use tools for file format recognition and validation. [MC 4];... vermitteln, warum bestimmte Dateiformate im Hinblick auf Nachnutzbarkeit und Interoperabilität von Forschungsdaten besser oder schlechter geeignet sind. [SK 3, SoK 3];... communicate why certain file formats are better or worse in terms of reusability and interoperability of research data. [PC 3, SC 3];;;
;;;;... eigene Daten unter Anleitung in nachnutzbaren Formaten anlegen oder in entsprechende Formate überführen. [MK 3];... create their own data in reusable formats or convert them to appropriate formats under guidance. [MC 3];... unter Anleitung angemessene Verfahrensweisen für quantitative und qualitative Daten zuordnen. [SK 3, MK 3] ;... allocate appropriate procedures for quantitative and qualitative data under guidance. [PC 3, MC 3];... bezüglich der Auswahl sinnvoller Dateiformate beraten. [SK 3, MK 3, SoK 3];... advise on the selection of useful file formats. [PC 3, MC 3, SC 3];;;
;;;;... sich mit Fragen zur Nachhaltigkeit von Dateiformaten kritisch auseinandersetzen. [SK 4] ;... critically discuss questions about the sustainability of file formats. [PC 4] ;... eigenständig angemessene Verfahrensweisen für quantitative und qualitative Daten auswählen. [SK 4, MK 4] ;... independently select appropriate procedures for quantitative and qualitative data. [PC 4, MC 4];... vermitteln was Datenintegration ist. [SK 2, SoK 3];... communicate what data integration is. [PC 2, SC 3];;;
;;;;... unter Anleitung Werkzeuge zur Dateiformaterkennung und -validierung nutzen. [MK 3];... use tools for file format recognition and validation under guidance. [MC 3];;;... Wege für automatisches Einlesen von Daten in verschiedene Formate beschreiben. [SK 2];... describe ways of automatically reading data into different formats. [PC 2];;;
;;;;... unter Anleitung angemessene Verfahrensweisen für quantitative und qualitative Daten zuordnen. [SK 3, MK 3] ;... allocate appropriate procedures for quantitative and qualitative data under guidance. [PC 3, MC 3];;;... den Nutzen/die Funktion von Datenstandards erläutern. [SK 2];... explain the purpose of data standards. [PC 2];;;
